VILLAGE NAME,VILLAGE PIN CODE,NUMBER OF TOTAL POPULATION,NUMBER OF MALE,NUMBER OF FEMALE,NUMBER OF TOTAL HOUSEHOLD,NUMBER OF HOUSEHOLDS ENGAGED MAJORLY IN FARM ACTIVITIES,NUMBER OF HOUSEHOLDS ENGAGED MAJORLY IN NON-FARM ACTIVITIES,"TOTAL CULTIVABLE AREA (IN HECTARES), IF IN ACRES DIVIDE BY 2.47",NUMBER OF FARMERS USING DRIP/SPRINKLER IRRIGATION ,"TOTAL AREA IRRIGATED (IN HECTARE), IF IN ACRES DIVIDE BY 2.47","TOTAL UNIRRIGATED LAND AREA (IN HECTARES), IF IN ACRES DIVIDE BY 2.47",NUMBER OF HOUSEHOLDS WITH KUCCHA WALL AND KUCCHA ROOF ,NUMBER OF HOUSEHOLDS WHO HAVE GOT A PMAY HOUSE (COMPLETED OR SANCTIONED),NUMBER OF HOUSEHOLDS WHO ARE IN THE PERMANENT WAIT LIST,NUMBER OF HOUSEHOLDS WHO GOT BENEFIT FROM ANY STATE SPECIFIC HOUSING SCHEME?,NUMBER OF HOUSEHOLDS WHO ARE IN THE PERMANENT WAIT LIST OF STATE SPECIFIC HOUSING SCHEME?,NUMBER  OF HOUSEHOLDS AVAILING THE BENEFITS UNDER SAUBHAGYA SCHEME,AVAILABILITY OF VOCATIONAL TRAINING CENTRE/POLYTECHNIC/ITI/RSETI /DDU-GKY,TOTAL NUMBER OF FARMERS ,NUMBER OF FARMERS RECEIVED THE SOIL TESTING REPORT,TOTAL APPROVED LABOUR BUDGET FOR THE YEAR 2018-19,NUMBER OF HOUSEHOLDS HAVING PIPED WATER CONNECTION ,Cluster
Kavasseri-II,678548,11855,5683,6172,2882,1170,1200,1176.0,3,560.0,490.0,58,0,118,87,9,0,11,1035,236,44200000.0,2210,3
Kulanada,689503,20060,9232,10828,8017,2950,4537,1290.0,3,85.76,1155.21,17,22,318,62,288,34,18,3104,190,10052110.0,970,1
Mezhuveli,689503,3485,1653,1832,1112,550,530,383.275,0,38.0,330.27,3,5,62,16,92,6,2,801,25,1427416.0,221,3
Padiyoor,670703,11422,5613,5809,2758,1410,1283,2743.0,0,41.0,2533.0,46,4,236,35,79,0,0,4500,0,50000000.0,750,0
Kalliad,670593,10102,5022,5080,2163,1250,913,2462.0,0,29.0,2373.0,30,13,142,26,28,0,0,2300,0,40000000.0,650,3
Varandarappilly,680303,27343,13099,14244,6606,446,4458,2884.0,42,431.0,2250.0,10,3,67,41,99,0,43,3418,21,36235332.0,3717,1
Mupliyam,680312,8020,3890,4130,2005,134,1358,2015.0,21,218.0,1694.0,8,1,22,26,20,0,17,1422,7,27176500.0,1130,3
Nandipulam,680312,5529,2663,2866,1438,101,945,384.0,17,198.0,117.0,2,1,4,14,5,0,16,1044,12,12078442.0,817,3
Periyar,685509,6482,3209,3273,1613,1121,465,4205.0,12,1275.0,2930.0,21,0,0,28,499,171,15,971,16,5226337.0,879,0
Kumily,685509,30276,15162,15114,7404,5098,988,9999.0,124,685.0,9209.0,366,0,6,376,1215,304,94,4265,60,12194789.0,4376,2
Mlappara,686513,64,31,33,19,1,0,98.15,1,96.15,2.0,0,0,0,0,1,0,0,1,0,0.0,0,3
Rajakumari,685619,16086,8073,8013,4188,2871,865,4087.56,500,2562.78,1452.85,31,0,414,54,31,35,54,4812,800,54000000.0,984,0
Thathamangalam (Part),678532,7567,3734,3833,1697,851,846,675.42,6,439.2,160.29,13,4,45,110,2,0,11,579,27,18626100.0,1286,3
Pattanchery,678532,18451,9132,9319,4275,1582,2693,2026.28,89,1317.6,480.88,41,13,37,121,2,0,13,1735,83,43460904.0,4239,0
Chenneerkara,689517,19124,8882,10242,7459,2205,2416,1675.71,8,138.06,1422.24,9,8,51,49,37,3,58,3056,49,14227500.0,2354,1
Karukutty,683576,28118,13804,14314,6968,498,850,2640.0,55,1982.0,658.0,0,0,0,8,6,4,12,2250,30,19024200.0,956,0
Manjapra,683581,16011,7914,8097,4061,302,1087,760.0,10,482.0,278.0,0,0,4,50,87,25,0,1315,155,20324766.0,814,3
Kuttiyeri,670142,12473,6009,6464,2861,1030,831,1920.0,2,655.9,1173.1,0,0,4,18,4,6,248,2000,0,9894000.0,74,3
Mylapra (Part),689671,10258,4813,5445,2896,568,923,1040.57,2,29.41,983.05,14,2,14,13,8,0,60,2064,43,16706250.0,880,3
Mathur -I,678571,12975,6296,6679,3011,751,848,1062.0,0,634.0,291.0,256,14,49,72,26,0,10,958,16,11133078.0,2061,3
Mathur -II,678571,12147,5942,6205,2775,892,726,982.0,0,586.0,269.0,271,11,48,69,24,0,12,1052,20,11130750.0,1740,3
Peringottukurissi-II,678574,12514,6042,6472,2925,591,766,1256.0,1,509.0,608.0,84,15,51,42,10,0,17,912,22,13246029.0,2203,3
Peringottukurissi-I,678573,12361,5954,6407,2883,590,780,1028.0,2,465.0,440.0,117,13,41,40,8,0,15,947,18,13049895.0,2017,3
Kuzhalmannam-II,678702,9354,4500,4854,2187,430,632,1089.0,0,753.4032,247.0,230,3,16,58,5,0,10,998,20,6901239.0,1760,3
Kuzhalmannam-I,678702,17848,8700,9148,4128,826,1242,1483.0,0,942.0,374.0,253,5,25,85,9,0,12,1248,26,16349000.0,3332,3
Pulpalli,673579,8059,4010,4049,1967,944,928,1363.0,19,124.0,1178.0,9,5,11,32,0,14,27,3063,27,8623700.0,835,3
Padichira,673579,20341,10121,10220,4962,2625,2082,3184.0,83,165.0,2850.0,7,13,30,87,0,53,9,7730,98,30183004.0,2106,0
Tarur-I,678544,12617,6031,6586,3096,1280,1575,1082.0,9,481.0,492.0,24,10,11,42,18,0,9,1200,720,18000000.0,1230,3
Tarur-II,678544,13376,6568,6808,2893,1275,1374,1123.0,7,442.0,532.0,32,13,14,45,25,0,6,1300,780,19771000.0,860,3
Vellarada,695505,31839,15702,16137,8285,2396,5791,2157.87,3,28.6,2087.1,0,0,0,33,0,48,193,4482,13,109474560.0,6572,1
Anavoor,695124,7815,3829,3986,1954,436,1371,287.72,1,5.24,276.85,0,0,0,8,0,12,48,792,3,27368640.0,1426,3
Kunnathukal,695504,9946,4874,5072,2487,667,1387,431.57,1,8.1,415.04,0,0,0,11,0,15,62,988,4,34210800.0,1842,3
Kankole,670307,10665,5048,5617,2576,875,1365,1460.0,7,228.0,1101.0,0,10,0,13,0,0,14,1428,31,101294536.0,1566,3
Alapadamba,670307,8660,4173,4487,2233,983,958,2190.0,7,343.0,1542.0,0,28,0,12,0,0,12,1875,34,101294536.0,1636,3
Dharmadom (CT),670106,30804,13987,16817,6751,125,4934,673.0,1,86.0,554.0,0,3,1,20,52,0,0,164,52,22932000.0,3316,1
Nuchiyad,670705,12686,6250,6436,3850,1850,1175,2800.0,0,495.0,2305.0,0,5,0,115,0,2,0,3150,0,85264.0,1500,0
Vayathur,670705,22743,11207,11536,5605,3985,1410,3778.0,0,697.0,2586.0,0,6,0,148,0,4,0,4500,0,96781.0,1500,0
Vengappally,627330,11756,5735,6021,2676,983,1284,1917.0,1,236.0,1628.0,8,12,11,1,188,0,64,4467,116,1.5,496,3
Nadavayal,673579,5059,2485,2574,1214,764,450,540.0,13,65.0,447.0,275,0,0,4,162,12,53,815,21,2200000.0,408,3
Pulpalli,673579,20263,10039,10224,5010,3210,1800,2652.0,56,289.0,2198.0,629,0,0,43,1424,158,161,3806,338,76320000.0,3101,2
Padichira,673579,8629,4288,4341,2190,1408,782,1404.0,13,16.0,1378.0,44,0,0,3,148,11,59,820,68,2200000.0,420,3
Kalkoonthal,685553,23558,11880,11678,5932,4528,1046,3642.0,270,1926.0,1716.0,47,0,0,22,193,42,179,3274,34,52255500.0,2267,0
Parathodu,685553,18422,9100,9322,4812,3454,792,3104.0,230,1576.0,1528.0,41,0,0,18,165,36,146,2903,29,44500000.0,2009,0
Pramadom,689646,19489,9158,10331,4872,1900,600,1557.12,17,44.75,1482.21,31,9,20,38,33,14,159,3600,810,26566000.0,2575,1
Vallicode-Kottayam,689656,11762,5440,6322,3759,1600,1021,1085.12,22,45.0,973.9,73,17,33,20,66,14,159,2800,790,9600000.0,1954,3
Kulathoor,628534,32394,16017,16377,7753,1864,4732,982.27,4,131.0,821.0,2,2,40,0,550,3,71,3589,73,99592000.0,4468,1
Thillenkeri,670702,14583,6967,7616,3204,1755,1449,2250.0,50,115.0,2068.0,6,8,0,34,0,6,25,2225,25,38153000.0,9,3
Mallapuzhassery,689652,11784,5503,6281,4327,1074,1781,883.822,5,95.471,537.215,40,1,176,14,76,4,38,1820,64,9823750.0,752,3
Ottasekharamangalam,695125,18794,9038,9756,5077,3046,2031,1749.92,0,38.12,1702.21,63,23,557,341,248,20,10,5558,650,166000000.0,3015,0
Pariyaram (CT),670502,20405,9582,10823,4580,687,2393,2000.07,16,250.0,1708.0,0,0,14,28,4,3,348,2422,0,14841000.0,758,1
Karivellur (CT),670521,13498,6252,7246,3463,748,2446,1047.0,4,260.0,713.0,0,1,56,13,15,0,0,2150,122,62143330.0,119,3
Vannapuram,685582,24217,12246,11971,7324,4965,2359,2343.34,30,193.8,2149.54,51,28,26,83,52,0,148,4965,150,64440664.0,3650,1
Keezharoor,695130,23998,11737,12261,6387,2279,3700,2136.44,0,17.08,2111.02,70,0,99,2,322,0,0,2279,190,222250000.0,5500,1
Peralam,670521,7607,3548,4059,1947,1125,678,858.0,8,210.0,582.0,0,16,81,12,16,0,0,1350,87,39120520.0,112,3
Anicad,689589,14585,6982,7603,3906,728,2845,1643.68,4,40.0,1527.04,0,8,2,16,3,46,25,774,425,13560000.0,2148,3
Melarcode,678703,26155,12715,13440,6156,2460,2970,1961.0,12,1131.0,645.0,238,0,15,111,0,0,0,1700,255,16777604.0,4985,1
Kalliyoor (CT),695042,40916,20178,20738,13482,5628,6892,1117.36,9,471.0,646.0,33,5,51,65,123,26,83,7185,385,22200000.0,9021,1
Vengoor West,686546,17355,8615,8740,4448,2850,1341,1592.0,2,608.0,911.0,5,20,65,36,1,4,35,2500,520,28266224.0,2000,0
Karumkulam,695526,27481,13506,13975,6255,2513,3425,337.57,2,8.0,327.21,132,5,15,14,120,10,76,2712,259,116059500.0,5240,1
Vandazhi-II,648706,12789,6278,6511,3050,1162,1445,679.0,30,381.0,279.0,105,0,5,30,6,0,0,575,64,6804162.0,1406,3
Vandazhi-I,678706,13128,6501,6627,2916,1110,1376,814.0,29,483.0,184.0,108,0,4,29,7,0,0,528,60,6806490.0,968,3
Mangalam Dam,678706,6012,2985,3027,1441,560,690,1514.0,39,92.0,1175.0,44,0,0,15,2,0,0,276,60,3405864.0,459,3
Achooranam,627333,11998,5753,6245,2684,750,1500,1486.0,3,168.0,1255.0,300,24,20,212,203,1,15,2309,130,95021300.0,100,3
Pozhuthana,627334,6408,3101,3307,1572,300,840,936.0,7,12.0,866.0,280,20,24,116,109,1,40,1244,110,51165316.0,94,3
Ramanthali,670308,25711,12526,13185,5082,1024,3550,1540.0,10,209.0,1221.0,0,6,3,23,4,105,0,2475,9,101167776.0,1302,1
Kalliasseri (CT),670562,31122,14111,17011,7149,738,6411,1176.0,2,83.0,925.0,0,1,0,22,41,0,39,7796,125,58605524.0,4106,1
Panapuzha,670306,11355,5398,5957,2701,736,1740,2654.0,130,385.0,2269.0,0,0,0,12,1,5,0,2317,125,7718000.0,1519,3
Kadannappalli (CT),670501,10430,4848,5582,2606,645,1840,2036.0,225,520.0,1516.0,0,0,0,17,1,1,0,2140,150,7724000.0,1435,3
Chirakkal (CT),670011,45601,21123,24478,9599,16,8430,815.0,0,61.0,510.0,0,2,0,25,0,1,0,5690,1759,7161000.0,5868,1
Pandalam Thekkekara,691525,18366,8540,9826,5298,2013,2649,1733.0,3,68.36,1506.09,12,67,156,34,90,20,24,2915,520,23556672.0,715,1
Chittar,689663,16525,7767,8758,4512,650,3113,1312.91,2,46.56,1261.65,0,5,98,45,145,0,11,3000,50,38391950.0,1929,1
Vellad,670571,12848,6458,6390,3229,2420,711,2156.0,53,90.0,2014.0,12,8,1,67,63,12,52,1573,0,4869419.0,49,3
New Naduvil,670582,20369,9878,10491,4926,3695,810,5031.0,68,207.0,4824.0,30,15,0,67,63,29,115,4982,0,11361979.0,140,0
Puthencruz (CT),682308,22534,11095,11439,5677,521,5156,1669.0,31,684.0,985.0,1,1,24,3,21,8,48,1322,0,7816000.0,2869,1
Erathu,691529,24880,11626,13254,7971,3580,2790,1966.2,15,130.12,1769.29785,38,25,1,176,56,0,147,6240,29,56300000.0,1456,1
Ezhome (CT),670334,19261,8716,10545,4297,92,3605,1250.0,7,32.0,780.0,6,7,0,16,1,2,50,4645,0,9709000.0,2418,1
Nedumpuram,689110,12694,5971,6723,4654,1859,2356,687.0,13,42.0,271.0,17,6,111,53,8,0,74,2698,524,15000000.0,2806,3
Kadampanadu,691553,26909,12548,14361,8264,3470,3225,2200.1,20,176.0,1912.08,6,50,292,54,29,0,161,6550,92,76200000.0,2318,1
Muzhappilangad (CT),670662,23709,10965,12744,4460,34,3948,480.0,3,85.0,361.0,0,12,98,0,0,0,20,1227,150,6983000.0,2314,1
Peringara,689108,15199,6984,8215,5008,626,3097,1050.0,2,585.0,465.0,10,0,0,28,30,1,12,2416,4,13071100.0,281,3
Pattazhy,691522,17718,8208,9510,4832,865,3967,1780.25,5,60.54,1349.47,105,0,3,34,25,16,162,1625,857,51754600.0,1746,1
Kannadi-I,678701,15422,7541,7881,3632,762,1146,1027.4,2,642.47,201.22,17,21,73,103,112,0,10,900,90,11209000.0,3167,3
Kannadi-II,678701,11228,5510,5718,2642,475,894,840.6,1,525.66,164.64,8,17,60,88,93,0,3,1100,110,9171000.0,2156,3
Thiruvaniyoor,682308,25171,12357,12814,6374,52,135,1831.0,9,816.0,983.0,0,0,161,21,84,2,21,2500,12,29102000.0,1432,1
Puthencruz (CT),682308,156,81,75,39,9,11,9.5,1,0.01,9.0,0,1,2,1,0,0,3,1,0,0.0,3,3
Thirupuram,695133,18723,9150,9573,4776,700,2963,624.39,30,58.51,554.11,0,21,181,126,379,112,28,2456,225,113644000.0,3050,1
Kallooppara,689583,16837,7915,8922,4687,1095,3286,1494.28,3,101.85,1329.66,3,4,17,4,43,66,84,2357,250,18067000.0,2486,1
Kizhakkambalam,683562,33363,16412,16951,7909,2106,5803,1683.0,36,364.0,1319.0,0,3,17,63,55,0,45,2500,10,2136155.0,1330,1
Thuravoor Thekku,688532,28698,13865,14833,6940,760,6074,1672.58,9,463.8,523.85,82,0,6,168,74,0,7,6475,275,82716000.0,4972,1
Kuthiathode (CT),688532,104,50,54,26,7,11,2.2,0,0.9,1.0,2,0,0,2,2,0,0,4,0,0.0,22,3
Sreekrishnapuram -I,679513,14797,7004,7793,3705,1700,910,1705.0,40,652.0,960.0,0,9,78,65,2,0,12,3610,160,36373000.0,1857,3
Sreekrishnapuram -II,678633,7076,3307,3769,1624,985,600,861.0,30,300.0,480.0,0,7,55,31,0,0,12,1600,100,8816000.0,1452,3
Mannoorkara,695574,18343,8682,9661,8042,2416,5626,1838.79,3,212.0,1615.12,40,0,0,310,16,20,1487,3500,110,96542000.0,4216,1
Enadimangalam,691524,20453,9570,10883,6071,2780,2116,2670.87,8,160.0,2239.188,120,34,112,27,57,19,231,4200,600,65900000.0,238,0
Karimannoor,685581,3111,1517,1594,725,244,387,393.2,2,18.21,374.99,1,4,0,3,0,6,34,402,197,1785000.0,572,3
Alacode,685588,6657,3295,3362,1651,889,608,1578.5,13,176.32,1402.18,7,4,0,32,0,31,98,1483,1215,10715000.0,1304,3
Irapuram,683541,19137,9573,9564,4770,1743,2190,1675.0,6,598.0,991.0,33,2,2,46,57,7,3,2185,34,18424000.0,1825,1
Kalanjoor,689694,12462,5840,6622,4563,2053,2300,1446.39,20,24.57,1392.76,26,24,55,52,30,12,72,1260,12,30300000.0,818,3
Thumpamon,916073,7566,3429,4137,2612,1175,1332,649.0,7,90.28,558.72,7,9,57,1,4,5,19,1488,115,9969040.0,524,3
Kavumbhagom (Part),689102,5802,2791,3011,2145,225,1205,660.0,1,375.0,134.0,6,0,0,18,13,1,8,1450,1,5601900.0,127,3
Mazhuvannoor,686669,14946,7560,7386,3679,1391,1722,1738.0,4,725.0,896.0,29,4,0,34,43,3,2,1948,16,16687000.0,1425,3
Koodal,689693,19412,8949,10463,4916,2700,2066,2168.4,8,30.0,2088.0,23,16,57,30,36,10,93,1480,15,30600000.0,980,1
Anavilasam,685535,1495,719,776,403,322,63,165.0,132,132.0,11.0,0,3,0,15,15,0,62,364,272,6100000.0,28,3
Chakkupallam,685509,2359,1155,1204,624,406,124,820.0,12,145.0,301.0,0,1,1,3,0,0,4,602,543,1400000.0,0,3
Anakkara,685512,14575,7277,7298,3744,2424,1311,1987.0,836,1352.0,612.0,0,18,9,113,49,0,112,4180,210,14505000.0,432,0
Vandanmedu,685551,12138,6028,6110,3344,2812,198,1932.0,824,171.0,21.0,4,67,10,106,40,0,126,2694,214,11820000.0,484,0
Pallickal,691554,21143,9872,11271,5740,2634,2518,2355.0,24,230.0,1717.0,56,13,27,81,1,0,35,4355,765,40112110.0,119,0
Peringanadu (Part),691551,20638,9642,10996,5739,2531,2419,2088.0,21,220.0,1650.0,62,13,26,78,0,0,33,4185,923,38539988.0,749,1
Kodumon,691555,18192,8431,9761,4368,2096,1572,1320.0,1,119.0,1052.0,0,14,12,36,0,61,322,2538,434,26000000.0,302,3
Angadickal,689648,9508,4331,5177,3460,1660,1245,1112.0,1,101.0,898.0,0,8,10,20,0,12,308,1232,246,24300000.0,264,3
Marayoor,685620,12399,6192,6207,3307,1598,1709,1473.0,2,650.0,507.0,51,6,0,275,39,46,26,2752,75,58500000.0,2490,3
Narath (CT),670601,13092,5979,7113,2557,330,2220,548.0,2,40.0,444.0,0,1,1,10,33,0,36,1853,6,9192979.0,1468,3
Kannadiparamba (CT),670604,13677,6056,7621,2791,375,2410,597.0,1,46.0,440.0,0,1,1,14,46,5,49,2647,17,13132825.0,1521,3
Vilavoorkkal (CT),695573,31761,15647,16114,8275,2072,5043,826.06,3,71.3,727.28,349,7,38,139,2,0,17,2080,60,1530000.0,4965,1
Pampadumpara,685553,17336,8570,8766,4351,3176,1131,3278.0,165,1527.0,1751.0,21,0,0,185,0,19,24,1972,18,39122644.0,3145,0
Karunapuram,685552,3836,1921,1915,981,687,255,811.0,58,376.0,435.0,3,0,0,87,0,10,8,884,9,18410656.0,721,3
Pookkottukavu,679514,14427,6930,7497,3557,897,2660,1662.28,5,331.7,1123.62,14,118,41,98,88,4,38,897,47,37334000.0,2449,3
Kuthiathode (CT),688533,23669,11483,12186,5677,227,5250,707.81,2,93.06,296.38,5400,4,3,117,60,0,2,2800,52,60036600.0,4025,2
Vilakkudy,691508,32995,15504,17491,8489,2707,5782,1715.52,10,41.23,1614.06,307,0,1,96,9,4,183,4028,0,239512480.0,771,1
Kallara,695608,25844,11848,13996,6981,3970,3011,2315.79,12,468.29,1847.5,0,5,160,290,485,0,350,5300,1200,37173884.0,264,0
Pangode,695609,29039,13511,15528,7786,2510,5276,1525.2,4,25.52,1499.68,62,0,60,139,89,102,30,3643,658,38603410.0,916,1
Neyyasseri,685581,6820,3356,3464,1665,599,866,1446.0,10,285.0,1161.0,6,7,7,48,68,32,95,1300,203,9250680.0,915,3
Karimannoor,685581,12855,6362,6493,3099,961,1611,1887.0,10,351.0,1536.0,9,8,8,38,61,62,55,1500,802,7979320.0,1759,3
Pattannur,670595,15003,7177,7826,3110,1692,1282,2000.0,6,181.0,1494.0,0,17,0,12,0,0,8,2069,142,21649844.0,991,3
Koodali (CT),670592,15236,7074,8162,3447,1138,2178,1387.0,2,100.0,1287.0,0,3,0,12,0,0,5,1127,120,10824922.0,661,3
Pallassana,678505,23581,11718,11863,5487,2425,2562,2283.0,10,1454.0,618.0,23,0,24,14,36,41,0,2949,0,23609412.0,5320,1
Koipuram,689548,26425,12231,14194,10583,2610,6060,1375.0,13,135.5,357.5,9,2,17,30,12,0,76,6743,42,14006000.0,3985,1
Koduvazhannoor,695612,10248,4663,5585,2755,590,2007,805.0,11,360.0,259.24,39,21,72,60,190,0,330,2710,30,11641681.0,1088,3
Pazhayakunnummel,695601,24608,11289,13319,6578,288,3520,1921.21,3,687.87,1159.4,120,57,180,67,270,0,12,4100,67,23490000.0,3500,1
Perumkulam,695575,19202,9337,9865,4888,2098,2790,1089.0,1,191.32,897.68,0,22,6,143,0,431,62,2098,7,72559200.0,3450,1
Veeranakavu,695575,26384,12867,13517,6930,2897,4033,1809.09,2,164.0,1645.09,0,24,7,155,0,482,167,2897,8,100200800.0,3840,1
Kanthippara,685619,10625,5208,5417,2682,2221,161,2284.18,18,365.0,1689.36,26,0,0,123,4,0,0,4067,242,30000000.0,551,0
Chathurangapara,685619,1628,873,755,477,338,38,792.022,9,213.0,547.022,5,0,0,29,2,0,0,701,16,8000000.0,155,3
Udumbanchola,685554,276,139,137,69,51,11,48.1,0,7.0,33.62,0,0,0,3,0,0,0,104,2,3000000.0,0,3
Thrissilery,670646,16818,8267,8551,3913,1751,1644,2397.0,31,401.0,1853.0,87,41,46,176,763,0,47,6391,42,30578236.0,596,0
Nadavayal,670721,4077,1999,2078,955,543,342,601.0,11,69.0,532.0,26,17,0,51,220,0,36,819,83,8056288.0,251,3
Poothadi,673596,14520,7169,7351,3586,1694,1506,2552.0,43,35.0,2517.0,99,63,0,197,287,0,107,3035,324,33808264.0,948,0
Irulam,673579,21052,10465,10587,5259,2342,2208,2941.0,60,168.0,2773.0,140,91,0,279,1213,0,148,4346,443,42698330.0,1353,2
Pathanapuram,689695,31660,14814,16846,8230,1881,6349,1690.24,13,37.56,1568.11,38,0,91,39,10,0,19,6085,250,72718000.0,1963,1
Athiyannur (CT),695123,26973,13032,13941,7166,1613,5074,1222.16,2,200.0,1003.65,52,64,40,77,12,12,65,3810,318,40003200.0,5884,1
Konnithazham,689692,1069,493,576,321,55,261,298.9,2,12.0,269.9,4,1,1,4,1,1,6,58,18,713710.0,165,3
Thannithode,689699,11943,5694,6249,3787,925,2787,3074.59,4,34.0,2956.02,21,17,12,47,10,19,71,2650,2482,34971690.0,1830,0
Elavancherry,678508,17940,8741,9199,4120,2010,824,1965.0,30,1520.0,260.0,33,0,79,147,100,32,75,1525,0,13192485.0,2474,0
Kaviyoor,689582,16852,7778,9074,6039,1109,4748,1015.0,10,140.55,717.3,18,3,18,11,11,0,62,1655,120,19873000.0,2835,1
Vadasserikkara,689661,21755,10502,11253,6541,1317,4260,2344.0,7,16.0,2270.5,0,0,1,48,34,27,18,3675,50,40650000.0,3042,1
Kottappadi (Part),673577,852,409,443,192,113,39,147.0,0,3.0,132.0,23,0,0,3,4,0,0,187,0,191.0,8,3
Thrikkaipatta (Part),673577,846,387,459,180,98,53,1455.0,0,2.0,1410.0,7,0,0,3,4,0,0,187,0,127.0,11,3
Muppainad,673577,22892,11140,11752,5187,3253,1460,2461.0,85,113.0,2308.0,32,0,0,65,38,0,4,5155,1156,6063.0,189,0
Nelliyampathy,678508,5545,2815,2730,1534,1282,52,7988.53,0,3275.3,4713.23,68,0,13,114,39,0,10,0,0,2600000.0,1092,0
Marampilly(CT),683105,23272,11662,11610,5368,805,1557,526.0,3,102.0,424.0,1,3,24,39,139,578,105,840,0,9082000.0,292,3
Vazhakulam (CT),683105,18358,9324,9034,4377,812,1113,710.0,3,82.0,610.0,0,2,22,47,162,358,110,825,0,8881000.0,296,3
Rayamangalam,683545,36722,18135,18587,9219,3155,5382,2931.24,10,1063.0,1595.0,0,18,50,46,0,2,122,3000,550,52384000.0,3465,1
Thottapuzhassery,689549,14469,6833,7636,5385,995,3877,1014.0,10,138.5,733.0,6,3,0,10,24,0,53,1650,30,22700000.0,2147,3
Pariyaram,680721,23070,11221,11849,5947,1800,3068,1830.0,7,850.0,900.0,8,4,2,49,284,0,10,2550,81,30000000.0,3590,1
Pattuvam,670143,15659,7214,8445,3300,1254,1716,1255.0,5,73.0,736.0,0,3,0,19,0,82,72,2225,0,29300000.0,1655,3
Elanji,686665,16495,8134,8361,4038,940,915,2665.0,6,225.0,2306.0,16,16,46,39,55,8,0,1425,5,41691000.0,1843,3
Kattur (CT),680702,18017,8315,9702,4480,150,2850,982.32,15,398.53,583.79,30,16,48,40,43,0,5,2840,16,6653050.0,2680,3
Thenmala,691308,2065,1012,1053,627,65,562,8.1,0,0.0,8.1,4,6,10,40,72,6,2,40,25,8931300.0,38,3
Arienkavu,691309,9068,4369,4699,2617,1518,1099,2554.06,12,3.68,2476.97,15,19,450,310,583,60,73,1190,960,20839700.0,93,0
Arakapady,683556,17779,8920,8859,4213,853,3360,806.14,5,86.86,718.88,0,10,74,157,0,218,0,1726,30,28756068.0,511,3
Vengola (CT),683556,32697,16584,16113,7791,872,4115,1208.1,5,130.2,460.8,0,15,98,151,68,308,157,1727,35,28756068.0,793,1
Eraviperoor,689542,25172,11699,13473,9120,4128,4632,1126.0,13,170.0,956.0,15,1,8,20,126,0,84,6293,30,28700000.0,6436,1
Mynagappally,690519,41027,19494,21533,10254,2051,7105,1813.92,10,180.24,1141.81,52,2,9,103,352,0,71,6205,100,69150000.0,6164,1
Parudur,679305,26638,12597,14041,5410,1846,1467,1952.0,4,520.0,825.0,2,10,23,122,154,0,35,2165,4,29810000.0,2991,1
Koppam,679323,30169,14498,15671,6103,582,2280,1950.0,11,350.0,1470.0,7,17,27,43,49,0,34,3215,0,43425000.0,4435,1
Kulukkallur,679337,27971,13174,14797,5568,478,2090,1889.0,4,245.0,1280.0,14,11,21,52,64,0,33,2268,0,44571000.0,4170,1
Thiruvegapura,679304,33942,16425,17517,6518,395,2880,1662.0,14,420.0,1120.0,15,30,69,84,118,0,31,2652,0,52220000.0,4890,1
Ongallur -II (CT),679306,16998,8310,8688,3495,163,2011,1080.0,2,316.0,704.0,9,6,6,58,58,0,7,1056,0,40226000.0,2678,3
Ongallur -I (CT),679124,26273,12924,13349,5022,218,2014,1089.0,1,324.0,718.0,7,5,6,75,82,0,8,1796,0,57484000.0,3759,1
Kunnathidavaka,673576,10309,5029,5280,2268,470,1191,977.0,15,2.0,943.0,106,10,12,120,160,1,53,3958,53,16314158.0,288,3
Chundale,673123,7996,3786,4210,1891,290,1105,788.0,7,6.0,757.0,120,8,10,107,180,1,47,1180,45,183619100.0,220,3
Kottakamboor,685615,2405,1249,1156,660,610,44,1108.0,0,422.0,686.0,163,38,0,647,0,0,0,1124,249,24416000.0,310,3
Vattavada,685615,3292,1690,1602,901,804,71,1088.0,4,495.0,593.0,225,43,0,873,0,0,0,1201,276,24436000.0,322,0
Kavumannam,627331,10072,5011,5061,2349,1085,1025,1194.0,68,96.0,1067.0,95,8,0,45,0,0,12,5270,170,6832208.0,86,3
Thariyode,627332,1653,797,856,385,271,114,2220.0,12,41.0,2091.0,22,1,0,5,0,0,6,930,30,38715850.0,14,3
Chuzhali,670142,14759,7147,7612,3449,2586,690,3247.0,6,145.0,2729.0,0,29,13,16,13,10,141,3925,0,12223241.0,65,0
Chengalai,670631,15800,7462,8338,3270,2289,981,2165.0,5,118.0,1985.0,0,6,1,5,1,8,129,4860,0,12224251.0,75,3
Kidangannur,689514,14264,6486,7778,3982,1170,2102,716.131,10,84.084,578.726,48,14,201,20,38,0,54,1662,31,9695430.0,1812,3
Aranmula,689533,14431,6732,7699,3962,1585,2301,1240.1,14,226.23,1013.87,72,28,243,45,59,0,67,1554,51,10126570.0,2608,3
Kunnamthanam,689584,20573,9742,10831,5679,624,4543,1517.91,2,83.4,1301.0,5,0,0,6,0,100,8,1100,200,15156000.0,3604,1
Mattool,670302,27806,12464,15342,4564,279,4285,774.0,5,79.0,555.0,0,2,2,8,36,0,0,1623,1603,7840000.0,2190,1
